"","Year","State","type","production","Avg","Measures","Materials","Chemical","Value"
"35",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRACLOSTROBIN = 99100)","FUNGICIDE","7,400"
"36",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRIMETHANIL = 288201)","FUNGICIDE","9,300"
"37",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(QUINOLINE = 55459)","FUNGICIDE","4,800"
"38",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(STREPTOMYCES LYDICUS = 6327)","FUNGICIDE","(NA)"
"39",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SULFUR = 77501)","FUNGICIDE","686,000"
"40",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TETRACONAZOLE = 120603)","FUNGICIDE","600"
"41",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","3,300"
"42",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(THIRAM = 79801)","FUNGICIDE","90,900"
"43",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","FUNGICIDE","1,233,500"
"44",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TRICHODERMA HARZ. = 119202)","FUNGICIDE","(NA)"
"45",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","4,200"
"46",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TRIFLUMIZOLE = 128879)","FUNGICIDE","7,200"
"47",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","200"
"48",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUMIOXAZIN = 129034)","HERBICIDE","1,100"
"49",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(GLUFOSINATE-AMMONIUM = 128850)","HERBICIDE","(D)"
"50",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE","(D)"
"51",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
"52",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(NAPROPAMIDE = 103001)","HERBICIDE","(D)"
"53",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(OXYFLUORFEN = 111601)","HERBICIDE","1,300"
"54",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PARAQUAT = 61601)","HERBICIDE","(D)"
"55",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PENDIMETHALIN = 108501)","HERBICIDE","5,500"
"56",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SULFENTRAZONE = 129081)","HERBICIDE","(D)"
"57",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","HERBICIDE","10,200"
"58",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ABAMECTIN = 122804)","INSECTICIDE","500"
"59",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ACEQUINOCYL = 6329)","INSECTICIDE","5,400"
"60",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ACETAMIPRID = 99050)","INSECTICIDE","2,800"
"61",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(AZADIRACHTIN = 121701)","INSECTICIDE","800"
"62",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BEAUVERIA BASSIANA = 128924)","INSECTICIDE","(NA)"
"63",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BIFENAZATE = 586)","INSECTICIDE","17,900"
"64",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BIFENTHRIN = 128825)","INSECTICIDE","7,300"
"65",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAK ABTS-1857 = 6523)","INSECTICIDE","(NA)"
"66",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAKI ABTS-351 = 6522)","INSECTICIDE","(NA)"
"67",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAKI SA-11 = 6519)","INSECTICIDE","(NA)"
"68",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT SUB AIZAWAI GC-91 = 6426)","INSECTICIDE","(NA)"
"69",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BUPROFEZIN = 275100)","INSECTICIDE","(D)"
"70",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BURKHOLDERIA A396 CELLS & MEDIA = 6534)","INSECTICIDE","(NA)"
"71",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CARBARYL = 56801)","INSECTICIDE","(D)"
"72",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHLORANTRANILIPROLE = 90100)","INSECTICIDE","1,900"
"73",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHLORPYRIFOS = 59101)","INSECTICIDE","(D)"
"74",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)","INSECTICIDE","(NA)"
"75",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYANTRANILIPROLE = 90098)","INSECTICIDE","900"
"76",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CYFLUMETOFEN = 138831)","INSECTICIDE","5,200"
"77",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ETOXAZOLE = 107091)","INSECTICIDE","1,200"
"78",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FENBUTATIN-OXIDE = 104601)","INSECTICIDE","(D)"
"79",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FENPROPATHRIN = 127901)","INSECTICIDE","6,000"
"80",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FENPYROXIMATE = 129131)","INSECTICIDE","400"
"81",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLONICAMID = 128016)","INSECTICIDE","3,300"
"82",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUPYRADIFURONE = 122304)","INSECTICIDE","4,800"
"83",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(HELICOVERPA ZEA NPV = 107300)","INSECTICIDE","(NA)"
"84",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(HEXYTHIAZOX = 128849)","INSECTICIDE","2,300"
"85",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(IMIDACLOPRID = 129099)","INSECTICIDE","3,500"
"86",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(MALATHION = 57701)","INSECTICIDE","56,700"
"87",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(METHOXYFENOZIDE = 121027)","INSECTICIDE","3,300"
"88",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(NALED = 34401)","INSECTICIDE","12,700"
"89",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(NEEM OIL = 25006)","INSECTICIDE","1,100"
"90",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(NEEM OIL","INSECTICIDE","51,600"
"91",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(NOVALURON = 124002)","INSECTICIDE","4,600"
"92",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PIPERONYL BUTOXIDE = 67501)","INSECTICIDE","1,200"
"93",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(POTASSIUM SALTS = 79021)","INSECTICIDE","(D)"
"94",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRETHRINS = 69001)","INSECTICIDE","200"
"95",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRIDABEN = 129105)","INSECTICIDE","(D)"
"96",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PYRIPROXYFEN = 129032)","INSECTICIDE","100"
"97",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SOYBEAN OIL = 31605)","INSECTICIDE","(D)"
"98",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPINETORAM = 110007)","INSECTICIDE","2,300"
"99",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPINOSAD = 110003)","INSECTICIDE","600"
"100",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SPIROMESIFEN = 24875)","INSECTICIDE","1,800"
"101",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(SULFOXAFLOR = 5210)","INSECTICIDE","1,000"
"102",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(THIAMETHOXAM = 60109)","INSECTICIDE","1,400"
"103",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","INSECTICIDE","212,600"
"104",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ZETA-CYPERMETHRIN = 129064)","INSECTICIDE","(D)"
"105",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(ACIBENZOLAR-S-METHYL = 61402)","OTHER","(D)"
"106",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(AUREOBASIDIUM PULLULANS DSM 14940 = 46010)","OTHER","(NA)"
"107",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(AUREOBASIDIUM PULLULANS DSM 14941 = 36010)","OTHER","(NA)"
"108",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(BT KURSTAKI SA-12 = 6518)","OTHER","(NA)"
"109",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CAPRIC ACID = 128955)","OTHER","(D)"
"110",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CAPRYLIC ACID = 128919)","OTHER","(D)"
"111",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(CHLOROPICRIN = 81501)","OTHER","6,146,600"
"112",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(DICHLOROPROPENE = 29001)","OTHER","1,045,700"
"113",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(FLUTRIAFOL = 128940)","OTHER","1,700"
"114",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(GLIOCLADIUM VIRENS = 129000)","OTHER","(D)"
"115",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(HYDROGEN PEROXIDE = 595)","OTHER","(D)"
"116",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(IRON PHOSPHATE = 34903)","OTHER","100"
"117",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(METALDEHYDE = 53001)","OTHER","(D)"
"118",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(METAM-POTASSIUM = 39002)","OTHER","254,000"
"119",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(METAM-SODIUM = 39003)","OTHER","244,000"
"120",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PAECILOMYCES FUMOSOR = 115002)","OTHER","(D)"
"121",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(PEROXYACETIC ACID = 63201)","OTHER","(D)"
"122",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(POTASSIUM SILICATE = 72606)","OTHER","(D)"
"123",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(REYNOUTRIA SACHALINE = 55809)","OTHER","600"
"124",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TOTAL)","OTHER","7,698,900"
"125",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB","(TRICHODERMA VIRENS STRAIN G-41 = 176604)","OTHER","(NA)"
"126",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(NITROGEN)","668,000"
"127",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(PHOSPHATE)","493,000"
"128",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(POTASH)","430,000"
"129",2019,"CALIFORNIA","BEARING","APPLICATIONS"," ","MEASURED IN LB"," ","(SULFUR)","57,000"
"130",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(AZOXYSTROBIN = 128810)","FUNGICIDE","0.205"
"131",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS AMYLOLIQUEFACIENS MBI 600 = 129082)","FUNGICIDE","(NA)"
"132",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)","FUNGICIDE","(NA)"
"133",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS PUMILUS = 6485)","FUNGICIDE","(NA)"
"134",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS SUBT. GB03 = 129068)","FUNGICIDE","(NA)"
"135",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BACILLUS SUBTILIS = 6479)","FUNGICIDE","(NA)"
"136",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BLAD = 30006)","FUNGICIDE","0.482"
"137",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BORAX DECAHYDRATE = 11102)","FUNGICIDE","0.023"
"138",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BOSCALID = 128008)","FUNGICIDE","0.337"
"139",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(BT SUBSP KURSTAKI EVB-113-19 = 6544)","FUNGICIDE","(NA)"
"140",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CAPTAN = 81301)","FUNGICIDE","1.739"
"141",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER HYDROXIDE = 23401)","FUNGICIDE","(D)"
"142",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(COPPER OCTANOATE = 23306)","FUNGICIDE","(D)"
"143",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYFLUFENAMID = 555550)","FUNGICIDE","0.023"
"144",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CYPRODINIL = 288202)","FUNGICIDE","0.32"
"145",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(DIFENOCONAZOLE = 128847)","FUNGICIDE","0.114"
"146",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FENHEXAMID = 90209)","FUNGICIDE","0.623"
"147",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUDIOXONIL = 71503)","FUNGICIDE","0.213"
"148",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUOPYRAM = 80302)","FUNGICIDE","0.113"
"149",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUXAPYROXAD = 138009)","FUNGICIDE","0.168"
"150",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FOSETYL-AL = 123301)","FUNGICIDE","3.997"
"151",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(ISOFETAMID = 270000)","FUNGICIDE","(D)"
"152",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MEFENOXAM = 113502)","FUNGICIDE","0.493"
"153",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MONO-POTASSIUM SALT = 76416)","FUNGICIDE","(D)"
"154",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(MYCLOBUTANIL = 128857)","FUNGICIDE","0.106"
"155",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENTHIOPYRAD = 90112)","FUNGICIDE","0.303"
"156",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(POLYOXIN D ZINC SALT = 230000)","FUNGICIDE","0.073"
"157",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(POTASSIUM BICARBON. = 73508)","FUNGICIDE","2.381"
"158",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PROPICONAZOLE = 122101)","FUNGICIDE","0.112"
"159",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRACLOSTROBIN = 99100)","FUNGICIDE","0.169"
"160",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PYRIMETHANIL = 288201)","FUNGICIDE","0.51"
"161",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(QUINOLINE = 55459)","FUNGICIDE","0.097"
"162",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(STREPTOMYCES LYDICUS = 6327)","FUNGICIDE","(NA)"
"163",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFUR = 77501)","FUNGICIDE","3.656"
"164",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TETRACONAZOLE = 120603)","FUNGICIDE","0.039"
"165",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIOPHANATE-METHYL = 102001)","FUNGICIDE","0.669"
"166",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(THIRAM = 79801)","FUNGICIDE","2.219"
"167",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRICHODERMA HARZ. = 119202)","FUNGICIDE","(NA)"
"168",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLOXYSTROBIN = 129112)","FUNGICIDE","0.113"
"169",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(TRIFLUMIZOLE = 128879)","FUNGICIDE","0.23"
"170",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(CARFENTRAZONE-ETHYL = 128712)","HERBICIDE","0.024"
"171",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(FLUMIOXAZIN = 129034)","HERBICIDE","0.089"
"172",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLUFOSINATE-AMMONIUM = 128850)","HERBICIDE","(D)"
"173",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLYPHOSATE ISO. SALT = 103601)","HERBICIDE","(D)"
"174",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(GLYPHOSATE POT. SALT = 103613)","HERBICIDE","(D)"
"175",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(NAPROPAMIDE = 103001)","HERBICIDE","(D)"
"176",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(OXYFLUORFEN = 111601)","HERBICIDE","0.313"
"177",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PARAQUAT = 61601)","HERBICIDE","(D)"
"178",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(PENDIMETHALIN = 108501)","HERBICIDE","1.202"
"179",2019,"CALIFORNIA","BEARING","APPLICATIONS"," AVG","MEASURED IN LB / ACRE / APPLICATION","(SULFENTRAZONE = 129081)","HERBICIDE","(D)"
